question,answer,id,relevant_passage_ids
Is the Dictyostelium discoideum proteome known?,"Yes, The Dictyostelium discoideum genome has been sequenced, assembled and annotated to a high degree of reliability. The parts-list of proteins and RNA encoded by the six chromosomes can now be accessed and analyzed. Consequently, this genomic sequence information can now be exploited to realize D. discoideum proteomics projects.",271,"[16957282 16957286 11990506 20422638  9150929 20013782 16875414 18820470
 22120990]"
What is the mechanism of action of cariprazine?,"Cariprazine is a dopamine D3/D2 partial agonist atypical antipsychotic with preferential binding to D3 receptors. Cariprazine shows also has affinity for 5-HT2B, and 5-HT1A receptors. It also shows moderate affinity toward σ1, 5-HT2A, and histamine H1 receptors. It is approved for the treatment of schizophrenia and manic or mixed episodes associated with bipolar I disorder",3105,"[28531264 23138433 29559781 26586950 30131592 28478771 25083572 27440212
 30322874 29722587 23320989 29729086 26723167]"
Is there an RNAi drug being developed to treat amyloidosis?,"Yes, patisiran is an investigational RNA interference (RNAi) therapeutic in development for the treatment of hereditary ATTR (hATTR) amyloidosis.",2308,[28893208]
Which interleukin is blocked by Siltuximab?,Siltuximab is a monoclonal antibody that binds to interleukin-6 with high affinity and specificity.,1146,"[23913484 20179212 24922005 21211286 25042199 21216930 26392750 21241278
 25294016 20699329 23432640 25784388 21795409 25655379 20625121 25873122
 22828917 20808314 21321981]"
Which protein is found to be mutated in Friedreich's ataxia?,"It is generally accepted that Friedreich's ataxia (FRDA) is caused by a deficiency in frataxin expression, a mitochondrial protein involved in iron homeostasis, which mainly affects the brain, dorsal root ganglia of the spinal cord, heart and in certain cases the pancreas",1677,"[18206656 20819074 18537827 25430730 16510442  9700204 20674094 25929520
 11823441 12393810 24242291 12194387 23247094 18463734 12174969 16787388
 12140189 25597503]"
Does RUNX2 inhibit astrocyte differentiation?,"No, RUNX2 promostes astrocyte differentiation.",3205,[27546532]
What is the role of AMPK kinase in myocardial remodeling after myocardial infarction,"AMP-activated protein kinase (AMPK) is a key sensor of cellular energy. The activation of AMPK by metformin prevents cardiac remodeling after myocardial infarction (MI). 
Adiponectin protects the heart from ischemia-reperfusion injury through an AMPK-dependent mechanism.
AMPK activation by metformin and the subsequent suppression of TLRs activity could be considered as a target in protecting the infarcted heart.",466,[23122726 22043210 21572014 22344560 16155579]
Is cystatin C or cystatin 3 used as a biomarker of kidney function?,"Yes, cystatin C (CysC) is a  novel biomarker of renal function.",874,"[23866593 23571811 23797027 23574755 23813702 23701892 23669156 24001705
 23698027 24262510 24321840 23910705 23577724 24114579 24178972 23744636
 24300829]"
What is the effect of ranolazine in diastolic heart failure?,"Data from in vitro and animal studies indicate that ranolazine improves diastolic function by inhibiting the late sodium current. Ranolazine is an innovative anti-ischemic and antianginal agent that reduces the Na-dependent Ca-overload, which improves diastolic tone and oxygen handling during myocardial ischemia. Furthermore, ranolazine improves cardiac diastolic dysfunction through modulation of myofilament calcium sensitivity.",1607,"[20924097 18439620  7873471 19752362 19403851 22767404 19333133 17027025
 24251065 21538388 23596505 22465693 22343711]"
Has ruxolitinib received FDA approval?,"Yes, ruxolitinib is FDA approved. In 2011 the oral JAK2 kinase inhibitor ruxolitinib became the first Food and Drug Administration (FDA)-approved drug for the treatment of myelofibrosis.",2261,[27796499]
Which gene is associated with Muenke syndrome?,Muenke syndrome has been related to a mutation on the Fibroblast Growth Factor Receptor (FGFR3) gene.,960,"[19449410 21403557 22622662 24168007 19755431 20592905 12794698 14963686
 19086028 17036334 15241680 19215249 17414289 18000976 23044018 23378035
 17103449]"
Is eculizumab effective for Guillain-Barré syndrome?,"In a clinical trial eculizumab did not achieve primary outcome for Guillain-Barre syndrome. However, because this was a small study without statistical comparison with the placebo group, the efficacy and safety of eculizumab could be investigated in larger, randomised controlled trials.",3394,[31171755 27801990 29685815]
Is intraoperative radiotherapy used for treatment of glioblastoma?,"Yes, intraoperative radiotherapy (IORT) is being used for treatment of glioblastoma. IORT combined with extensive tumor removal has an acceptable toxicity in previously irradiated patients and can be effective for selected recurrent malignant brain tumors.",2166,"[ 7623073 26824195 25535398 25724425  3014858  8092110  7709332 16044217
  2852827  6328061]"
Is amantadine effective for treatment of disorders conciousness?,"Amantadine, a dopaminergic agent, has been shown to be effective for induction of recovery from disorders of consciousness. Amantadine is a commonly prescribed medication for patients with prolonged disorders of consciousness after traumatic brain injury. Amantadine accelerates the pace of functional recovery during active treatment in patients with post-traumatic disorders of consciousness. Higher dosing of amantadine may be considered in the setting of brain injury.",129,"[24025056 24025057 15825541 22375973 20129511 20658796 18540467 20460949
 24025054 19894299 15759228 19404190]"
What is the function of Circular RNA (circRNA)?,"Circular RNAs (circRNAs) are a class of conserved, endogenous non-coding RNAs that are involved in transcriptional and post-transcriptional gene regulation as well as the pathogenesis of diseases. including cancer",4615,"[34110722 28969093 34699790 30791568 28082450 33065239 32059672 33715625
 30550956 32667692 33649838 34296749 31897908 31832126 33835457 34542406
 29349062 29387208 31178190 27616979 33537235 28634583 31998941 28018143
 34535136 34100450 32018039 34258296]"
What is the function of the protein Magt1?,The magnesium transporter 1 (MAGT1) is a critical regulator of basal intracellular free magnesium ([Mg2+]i) levels.,3150,[29051561 29581357 30385806]
Is the toxin produced by Clostridium botulinum always deadly?,There are numerous examples where children and animals survived infection with clostridium botulinum.,1765,"[20693440 26866491 19488551 26697417 15244362 19160335 23097586 20173718
 12926199 23871478 24867833 24997242 17674683 22513950]"
What is Abbreviated Injury Scale (AIS) used to determine?,"The Abbreviated Injury Scale (AIS) is an objective anatomically-based injury severity scoring system that classifies each injury by body region on a 6 point scale. AIS is the system used to determine the Injury Severity Score (ISS) of the multiply injured trauma patient.

AIS CLASSIFICATIONS
The AIS classifies individual injuries by body region as follows:
AIS 1 – Minor
AIS 2 – Moderate
AIS 3 – Serious
AIS 4 – Severe
AIS 5 – Critical
AIS 6 – Maximal (currently untreatable)",4642,"[20356359  8859913  3925257 30663437  7282320 29320211  3339667 17092503
 16060187 11320737 20376615 29137197 27586096 29930816 30841797 17503572
 20691038 34469860  8861162 10452467 30624377]"
"Unlike DNA, RNA is not methylated, yes or no?","In addition to DNA methylation, reversible epigenetic modification occurring in RNA has been discovered recently. The most abundant type of RNA methylation is N6-methyladenosine (m6A) modification, which is dynamically regulated by methylases (""writers""), demethylases (""erasers"") and m6A-binding proteins (""readers"")",4321,"[18567810 33526437 28349450 19808971  4992370 16111635 16424344 34694619
 27375676 34694621]"
Are astronauts in higher risk for developing cancer?,"No significant associations between space radiation dose and mortality were found using logistic regression with an internal reference group, adjusting for medical radiation.",3557,[29644336 29855508]
Is it possible to determine the proteome of a formalin fixed and paraffin embedded  (FFPE) tissue?,"Yes, advances in sample preparation has enabled the proteomic analysis of formalin-fixed and paraffin-embedded tissues.",1468,"[19522851 21370020 19471015 22387116 20469934 20597554 22318899 22081483
 19128014 16091476 19467989 22352854 22188123 20604508 21117664 22015969
 17409379 21337705 19637237 20373499 20373500]"
Which gene harbors the mutation T790M?,The T790M mutation refers to the mutation in exon 20 of the EGFR gene,829,"[25682017 25323938 25667490 25806347 25384171 26396685 26056478 25382705
 25939061 26058074 25483995 26124670]"
Which receptors are targeted by Tirzepatide?,Tirzepatide is dual glucose-dependent insulinotropic polypeptide (GIP) and glucagon-like peptide-1 (GLP-1) receptor agonist that demonstrated substantially greater glucose control and weight loss (WL) compared with selective GLP-1RA dulaglutide.,4255,"[34608929 34626443 34518444 32291277 34542221 34170647 33325008 34431633
 34819089 32519795 33236115 33030356 33778934 32730231 34370970 34003802
 34681215]"
What is the normal function p53?,Wild-type p53 can suppress tumour development by multiple pathways.,2921,[28984872 29242642 28749203 28937686]
Which protein complexes contain mitofilin?,"mitochondrial inter-membrane space bridging (MIB) complex 
mitochondrial inner membrane organizing system (MINOS)
MitOS for mitochondrial organizing structure",1114,"[22252321 23704930 22496419 22918945 21944719 21987634 22575891 22014515
 23676277 24030101]"
Does TRIM37 gene mutation causes Mulibrey nanism?,"Yes, Mulibrey nanism is caused by recessive mutations in the TRIM37 gene encoding for the peroxisomal TRIM37 protein with ubiquitin-ligase activity.",1595,"[16310976 17551331 19334051 21865362 16514549 12754710 19329943 14757854
 15108285 11938494 23385855]"
Which syndromes are associated with mutations in the EZH2 gene?,"EZH2 mutations that cause Weaver syndrome are primarily missense variants and the rare truncating mutations reported to date are in the last exon, suggesting that simple haploinsufficiency is unlikely to be generating the overgrowth phenotype although the exact mechanism has not yet been determined. Recent studies have shown that EZH2 mutations are often associated with RUNX1 mutations in MDS patients, although its pathological function remains to be addressed. These data show that mutations in EZH2 cause Weaver syndrome. The EZH2 gene is a homolog of the Drosophila Polycomb group (PcG) gene enhancer of zest, a crucial regulator of homeotic gene expression.",174,"[22177091 24507812 22190405 24852293 23099237 24214728 10780782 21856302
 25177364 23592277 22475286 24760151 24218139 24953053]"
Is there any link between CTF4 and CTF18 during sister chromatid cohesion?,"Yes. CTF4 and CTF18 are required for high-fidelity chromosome segregation. Both exhibit genetic and physical ties to replication fork constituents. Absence of either CTF4 or CTF18 causes sister chromatid cohesion failure and leads to a preanaphase accumulation of cells that depends on the spindle assembly checkpoint. The physical and genetic interactions between CTF4, CTF18, and core components of replication fork complexes suggest that both gene products act in association with the replication fork to facilitate sister chromatid cohesion.",188,[11287619 19430531 23036200 15226378 23334284 16962805 17483413 14742714]
Does tremelimumab improve survival of mesothelioma patients?,No. Tremelimumab did not significantly prolong overall survival compared with placebo in patients with previously treated malignant mesothelioma.,2876,[28729154 29773326 28231719]
"Other than protein coding potential, what features set apart long non-coding RNAs from protein coding genes?","Compared to protein coding genes, long non-coding RNAs (lncRNAs) display a bias towards two-exon transcripts. They are predominantly localized in the chromatin and nucleous. They are lower expressed and display a more tissue-specific expression pattern. LncRNAs are overall more weakly conserved than protein coding genes.",1549,"[20587619 21502407 19895688 21112873 22303401 17387145 22071789 22546862
 21915789 23319885 23274483 22955988 23463798 22135294]"
Which protein is the main inhibitor of protein phosphatase 1 (PP1)?,"Inhibitor 1 (I-1) is a protein inhibitor of protein phosphatase 1 (PP1), a major eukaryotic Ser/Thr phosphatase. Nonphosphorylated I-1 is inactive, whereas phosphorylated I-1 is a potent PP1 inhibitor.   ",1362,"[ 2540000 19481088 18192322 10811908 17388107 16772299 16774736  9033809
  8611507 15345721 21447388]"
What are the targets of Tirbanibulin?,"Tirbanibulin is Src kinase signaling inhibitor and tubulin polymerisation inhibitor that is being developed for the topical treatment of actinic keratosis, and psoriasis.",4685,[33713299 34349652 33196758 33567191 34783452]
What is formin associated with in the snail?,Formin is associated with Left-Right asymmetry in the pond snail and the frog.,1893,[26923788]
Through which pathway does the FTO-guided demethylation of GADD46 drive myogenesis?,FTO-mediated demethylation of GADD45B promotes myogenesis through the activation of p38 MAPK pathway.,4248,[34513292]
Which vitamin deficiencies may present with neurologic signs or symptoms?,"Many vitamin deficiencies have been described as a cause of neurologic signs and symptoms. For instance, vitamin B12 deficiency can cause several types of neurological manifestations, such as subacute combined degeneration of the spinal cord, ataxia, peripheral polyneuropathy, optic nerve neuropathy, and cognitive disorders. In addition, vitamin B1 (Thiamine) and B6 (Pyridoxine) deficiency can both cause peripheral neuropathy. Specifically, vitamin B1 deficiency can also cause confusion, ophthalmoplegia, nystagmus, and ataxia in the context of beriberi and Wernicke's encephalopathy. Finally, vitamin A deficiency has been described to cause retinal change-related visual defects and subsequent vision loss.",4527,"[ 3714053 23697293 20402062  6301966  1648656 22525460 24365342  6164769
 24115632 22450609 20640946 32228659  9012278  3722679 28331457 33961285
 26385097 22303049 28771404 33231056 33343698 15142228 31094486 31193945
 31838171 21590622 31490402  6308196 31837157 23834987  8682350  9527151]"
Which genes does thyroid hormone receptor alpha1 regulate in the heart?,"β-myosin heavy chain, alpha-myosin heavy chain, SR(Ca)ATPase, phospholamban, nucleotide-gated potassium channel 2, KCNE1, HCN2, HCN4, KCND2, KCND3, KCNA4",1117,"[11577024 19171649 15831522 16155104 23532677 17317766 15687816 14704232
 15808842 20228172 19629520 19832729 18622044]"
What does temsirolimus inhibit?,Temsirolimus is a mTOR inhibitor,4438,[34804848 34589671 34565342 31331862]
Which mutations are inhibited by Ripretinib?,Ripretinib is a novel switch-control kinase inhibitor designed to inhibit a wide range of KIT and PDGFRA mutations.,4623,"[33473249 32578014 33947686 34503977 32511981 32804590 34391056 20007090
 33948116 33876372 31085175 31755321 31033566]"
List sirtuin inhibitors.,"Sirtinol
nicotinamide (NAM)
LC-0296
BZD9L1",3072,[29330215 26722027 30066578 28254776 29235227 29659581]
Is MammaPrint cleared by the United States Food and Drug Administration? ,Yes. MammaPrint is cleared by the FDA for breast cancer recurrence.,128,[18786252 19506735 21479927]
Is ocular melanosis a risk factor for uveal melanoma?,"Yes, ocular melanosis (melanosis oculi) is a risk factor for uveal melanoma.",2016,[21670341  1520683  9442799 23681424 12647250  8292886  6677847]
List the three most prevalent pathogenic species of Borrelia in Europe.,"The most prevalent pathogenic species of Borrelia in Europe are: B. afzelii, B. garinii and B. burgdorferi ss.",1184,"[22522688 25120960 22742788 23837798 24533160 22445929 21876490 25273355
 23838444 23045802 24623628 24886071 25409015 24446554 25333277]"
Is cytisine superior to nicotine replacement therapy for smoking cessation?,"Yes, one clinical trial that directly compared smoking cessation rates with cytisine versus nicotine replacement therapy reported that cytisine was  superior to nicotine-replacement therapy in helping smokers quit smoking, but it was associated with a higher frequency of self-reported adverse events.",172,"[23404838 22104038 17130378 25517706 23978314 17253581 24831822 18076335
 22513936 21385905 23728690 20040957 17220536 18646137 24574554 21154363
 23834141 17825502]"
What links developmental pathways to ALS?,"A direct link between developmental pathways and ALS is not described. However, cytoskeletal proteins such as KIF5A are implicated in ALS, and the cytoskeletal protein N-cadherin is involved in plasticity of the cerebral cortex. Development depends on connections of the sympathetic nervous system, involving mechanisms such as axon growth, neuron survival, and dendrite growth. BACE1, which is involved in Alzheimer's disease, is also implicated in axonal regeneration.",4510,[30524706 20832291 33835400 34599308 31233613 27428653 31176720 32236823]
Does oncogene-induced DNA replication stress inhibit genomic instability?,"No, oncogene-induced DNA replication stress is thought to drive genomic instability.",2662,[23204322]
What is the role of cohesins at the IFNG locus?,"Cohesins form cell-type-specific long-range chromosomal cis-interactions at the developmentally regulated IFNG locus. Hence, the ability of cohesin to constrain chromosome topology is used not only for the purpose of sister chromatid cohesion, but also to dynamically define the spatial conformation of specific loci. This new aspect of cohesin function is probably important for normal development and disease.",1849,[19458616]
Which cancers compose Carney's triad?,"Carney's triad is a rare pathogenic entity which consists of 3 rare soft tissue tumors: gastric leiomyosarcoma, pulmonary chondroma and extraadrenal paraganglioma. It is usually diagnosed in young women. The presence of three tumors at the same time is not required for its diagnosis (incomplete Carney's Triad).",2543,"[ 8091266 19089668  8272014 12893072 16142610 17706515 19561114  3827356
 22968735 10468897  3361958 16229813 24840526  1620943 16555728 12149713
 18018644 16308708 24867050 22664948 11878780]"
Which clinical trials led to the first approval of Volanesorsen by the EU?,"The approval of Volanesorsen by the EU was based on the positive results from the multinational, phase III APPROACH and COMPASS studies.",4480,[31301033]
What is the function of the protein encoded by the gene NKCC2?,The protein function as an Na-K-Cl cotransporter.,3412,[29412704 30113482 29407172 29357410]
What is the mode of action of Thiazovivin?,Thiazovivin is a selective small molecule that directly targets Rho-associated kinase (ROCK) and increases expression of pluripotency factors.,4208,[28849097 27647250 25490878]
Which gene is involved in the development of Barth syndrome?,"Tafazzin is a mitochondrial phospholipid transacylase, and its mutations cause Barth syndrome (BTHS)",263,"[25941633 24813252 20981509 25776009 16794186 23523468 25247053 16442164
 24093814 16857210 24342716 22023389 24801725]"
What is oclacitinib?,Oclacitinib (APOQUEL(®)) is a Janus kinase inhibitor with activity against cytokines involved in allergy. It is a potent inhibitor of JAK1. It effectively controls clinical signs associated with allergic skin disease in dogs.,2276,[24495176]
List the types of the Cardiorenal syndrome (CRS) according to the five-part classification system.,"Cardiorenal syndromes (CRS) have been recently classified into five distinct entities, each with different major pathophysiologic mechanisms. 
CRS type 1: acute worsening of heart function (AHF-ACS) leading to kidney injury and/or dysfunction. 
CRS type 2: chronic abnormalities in heart function (CHF-CHD) leading to kidney injury or dysfunction. 
CRS type 3: acute worsening of kidney function (AKI) leading to heart injury and/or dysfunction. 
CRS type 4: chronic kidney disease (CKD) leading to heart injury, disease and/or dysfunction. 
CRS type 5: systemic conditions leading to simultaneous injury and/or dysfunction of heart and kidney.",2154,"[19169027 26411911 25254030 20653717 27165977 20037146 22493598 26483371
 21234092 20007090 20427956 21259069 23265597 24402629 21921607 21647318
 20427991 19007588 24656104 19554920 22718456]"
Which kinases does baricitinib inhibit?,Baricitinib is an inhibitor of Janus kinase family of enzymes (JAKs) with selectivity for JAK1 and JAK2.,817,[23492738 24965573 26137574 25431052 24818516]
Why are male calico cats rare?,"The tortoiseshell coat color is characteristic to female cats, and its occurrence in tomcats is very rare and associated with the presence of an additional copy of X chromosome.",4009,[ 1163864 32574385 13776765]
List the ten types of conjoined twins.,"Thoraco-omphalopagus: Two bodies fused from the upper chest to the lower chest. These twins usually share a heart, and may also share the liver or part of the digestive system.
Thoracopagus:Two bodies fused from the upper thorax to lower belly. The heart is always involved in these cases.
Omphalopagus: Two bodies fused at the lower abdomen. Unlike thoracopagus, the heart is never involved in these cases.
Pyopagus: joined at the buttocks with sacrum and coccyx anomalies
Rachipagus: Joined at the spine with vertebral and neural tube defects
Ischiopagus: joined at the hip from umbilicus to conjoined pelvis
Parasitic twins: Twins that are asymmetrically conjoined, resulting in one twin that is small, less formed, and dependent on the larger twin for survival.
Craniopagus: Fused skulls, but separate bodies
Cephalopagus: head but not face or foramen magnum, brains are usually separate
Dicephalus dipus dibrachius: 2 heads and one body",2444,"[16122113  7469832 16597654  3267350 19429398  2754585 29064095 17049247
 23733407 15278382 15278384 12483645 21660094 21860927 23154370  9951179
 23771470  7866063 26063696  1412053 27369817 27151716 28191207 25599848
  7112433  1031540 21433086]"
Which domain of the MOZ/MYST3 protein complex associates with histone H3?,The double PHD finger domain of MOZ/MYST3 induces a-helical structure of the histone H3 tail,3324,[19922872 24150941]
"Is telomestatin, a novel statin drug used to treat high cholesterol?",Telomestatin is a natural product isolated from Streptomyces anulatus 3533-SV4 and has been shown to be a very potent telomerase inhibitor and is used to treat cancer.,4647,[11878947 12917635 15283144 23909929 28611443 16652154]
Describe the mechanism of action of Lurbinectedin.,"Lurbinectedin is a novel highly selective inhibitor of RNA polymerase II triggering caspase-dependent apoptosis of cancerous cells. It inhibits active transcription of protein-coding genes, causing DNA-break accumulation, apoptosis and modulation of the tumor microenvironment.",3026,[30362375 30153704 30240327 29883879 28683469 30090974 27630271]
What particles is Hadron therapy using?,Hadron therapy is using proton beams.,3542,[29625810 28884707 29609813]
What is the Shelterin complex?,"Human telomeres are associated with the shelterin complex which consists of six telomere-associated proteins that specifically bind to telomeric DNA. Alterations or removal of individual shelterin components would lead to telomere uncapping and telomere dysfunction, resulting in cellular senescence and transformation to a malignant state.",1818,[26598048 26748096 27135879 26119943 27814571 26871633 26921407]
Is scuba diving safe during pregnancy?,"No, scuba diving should be avoided throughout pregnancy because the fetus is at an increased risk for decompression sickness during this activity.",2263,[10087779  8888455 10416137 17000494 12808399 19277936 11777528]
Which is the most typical peptide sequence responsible for retrieval of endoplasmic reticulum (ER) lumenal proteins from the Golgi apparatus?,"The lumenal endoplasmic reticulum (ER) proteins carry a specific sorting signal which enables their retrieval from multiple post-ER compartments (up to the TGN along the exocytotic pathway), back to the ER. The most typical such signal is the carboxyl-terminal Lys-Asp-Glu-Leu (KDEL), which is bound by a KDEL receptor in the Golgi apparatus, as well as in the intermediate compartment. Thus KDEL functions as a retrieval signal of lumenal ER proteins from Golgi to ER.",452,[ 7798312  9118249  9914159 15170512  9442098  8385108  1334264 10748089]
List updates for JASPAR 2020,"JASPAR (http://jaspar.genereg.net) is an open-access database of curated, non-redundant transcription factor (TF)-binding profiles stored as position frequency matrices (PFMs) for TFs across multiple species in six taxonomic groups. In this 8th release of JASPAR, the CORE collection has been expanded with 245 new PFMs (169 for vertebrates, 42 for plants, 17 for nematodes, 10 for insects, and 7 for fungi), and 156 PFMs were updated (125 for vertebrates, 28 for plants and 3 for insects). This collection has a dedicated web form to engage the community in the curation of unvalidated TF-binding profiles.",4030,[31701148]
List the types of defensins expressed in humans.,"Defensins are antimicrobial peptides that participate in the innate immunity of hosts. Humans constitutively and/or inducibly express α- and β-defensins, which are known for their antiviral and antibacterial activities.",3747,[30121363 28423004 29310427]
What is the mode of inheritance of Marchesani syndrome?,Marchesani syndrome is transmitted either by an autosomal dominant (mutations in FBN1) or an autosomal recessive (mutations in ADAMTS10) mode of inheritance,627,"[12525539  6739588 10707143 19836009 20301293 14598350 11941487  8914744
 19396027]"
Which is the genetic cause for the development of Fanconi anemia complementation group D1?,Fanconi anemia complementation group D1 (FANCD1) was shown to be induced by biallelic mutations in the BRCA2 breast-cancer-susceptibility gene.,595,[14695169 16920162 18212739 14559878 15695377 15645491 12383764]
What is the role of KAT7 in AML?,KAT7 is a genetic vulnerability of acute myeloid leukemias driven by MLL rearrangements and more specifically driven by the MLL-X gene fusions.,4612,[32764680]
Is Hepatic mesenchymal hamartoma usually a malignant tumor?,Mesenchymal hamartoma of the liver (MHL) is an uncommon benign hepatic tumor typically affecting children under 2 years of age.,2216,"[ 8942272 16544232 16833000 19365132 17713740 20954316 18071280 22935827
 17493912 15785401 18022426  2267227 27833980 23351454 23164031]"
Are mucins glycosylated proteins?,"Yes,
Many members of the mucin family are evolutionarily conserved and are often aberrantly expressed and glycosylated in various benign and malignant pathologies leading to tumor invasion, metastasis, and immune evasion.",3937,[31907968 31908009 31904283]
List drugs that were tested in the CheckMate 214 trial.,CheckMate 214 clinical trial compared Nivolumab plus Ipilimumab versus Sunitinib in Advanced Renal-Cell Carcinoma.,2961,[29562145 30332546 29728867 29468108 29223605 30187355 29587324]
What is the indication of Daonil (Glibenclamide)?,"Glibenclamide is an antidiabetic and antiglycemic, used in severe NIDDM, and increasingly viewed as a rational alternative to insulin therapy.",451,[22639778 10199151  6805141 21608438 12460666 16922811]
Which hormone receptor function is altered in patients with Donohue syndrome?,"Donohue syndrome (leprechaunism) is a rare, recessively inherited disorder of extreme insulin resistance due to mutations in the insulin receptor gene causing either defects in insulin binding or receptor autophosphorylation and tyrosine kinase activity. This syndrome is characterized by excessive hyperglycemia with hyperinsulinism, pre- and postnatal growth retardation, distinct dysmorphism and early death. Progressive obstructive cardiomyopathy and renal tubular dysfunction have been described in patients with Donohue syndrome. Milder form of insulin resistance due to insulin receptor gene mutation is coined as Rabson-Mendenhall syndrome.",1464,"[22972224 19774849 23824322 23229189 17201797 24498630 23990696 19882513
 18411068 21092701 22768670]"
The MMR vaccine protects against what 3 viruses?,"The MMR vaccine provides immunity to measles, mumps and rubella.",2202,[26265115  7686463]
Describe mechanism of action of Eteplirsen?,Eteplirsen (Exondys 51) is an antisense oligonucleotide designed to induce exon 51 skipping. Eteplirsen is approved for the treatment of Duchenne muscular dystrophy (DMD) in patients with a confirmed mutation of the DMD gene amenable to exon 51 skipping.,1771,"[26573217 24282529 23075107 27807823 27936976 23995279 27854228 22086232
 23907995]"
Is there any role of interleukin-11 in cardiovascular fibrosis?,"Yes. Interleukin 11 (IL11) upregulation is the dominant transcriptional response to TGFB1 exposure and required for its profibrotic effect. IL11 and its receptor (IL11RA) are expressed specifically in fibroblasts where they drive non-canonical, ERK-dependent autocrine signalling that is required for fibrogenic protein synthesis. In mice, fibroblast-specific Il11 transgene expression or Il11 injection causes heart and kidney fibrosis and organ failure whereas genetic deletion of Il11ra1 is protective against disease. Thus, inhibition of IL11 prevents fibroblast activation across organs and species in response to a range of important pro-fibrotic stimuli.",2630,[29160304]
Does BNN27 promote memory loss?,No. The novel dehydroepiandrosterone (DHEA) derivative BNN27 counteracts delay-dependent and scopolamine-induced recognition memory deficits in rats.,3335,[28274826]
Is Verubecestat effective for Alzheimer's Disease?,No. Verubecestat did not reduce cognitive or functional decline in patients with mild-to-moderate Alzheimer's disease and was associated with treatment-related adverse events.,3680,[28749667 30347431 30970186 29719179 31387606 31423903]
In which types of DNA repair is the UvrAB complex involved?,"UvrB and the lesion-recognition factor UvrA form the UvrAB complex, which plays a key role in bacterial nucleotide excision repair (NER). In transcription-coupled repair (TCR), the transcription repair coupling factor Mfd recruits uvrA, and the assembled UvrAB complex initiates repair. UvrAB complex also suppresses illegitimate recombination.",1642,"[11101153 12145219 11551204  9049316  2665605  9049317 10913608 20227373
  8702928 10811888 22749141 17630776  8969181]"
Can exposure to heavy metals like lead(Pb) or cadmium(Cd) cause changes in DNA methylation patterns in Isoetes sinensis?,"Changes in DNA methylation of the endangered plant, Isoetes sinensis, have be shown to be affected by both Pb and Cd",2856,[30515690 29053963]
What is enCHIP?,"Engineered DNA-binding molecule-mediated chromatin immunoprecipitation (enChIP) is a novel method for purification of specific genomic regions retaining molecular interactions. EnChIP using the CRISPR system efficiently isolates specific genomic regions. In this form of enChIP, specific genomic regions are immunoprecipitated with antibody against a tag(s), which is fused to a catalytically inactive form of Cas9 (dCas9), which is co-expressed with a guide RNA (gRNA) and recognizes endogenous DNA sequence in the genomic regions of interest. enChIP-mass spectrometry (enChIP-MS) targeting endogenous loci identified associated proteins. enChIP using the CRISPR system would be a convenient and useful tool for dissecting chromatin structure of genomic regions of interest.",223,[25051498 24201379 23942116]
Which R/bioconductor package has been developed to aid in epigenomic analysis?,DeepBlueR is a package that allows for large-scale epigenomic analysis in R.,2427,[28334349]
Which receptor is inhibited by Tivozanib?,"Tivozanib is a selective inhibitor of vascular endothelial growth factor receptors (VEGFRs) 1, 2 and 3 tyrosine kinases.",3579,"[27853960 23818763 27128461 27128217 25908516 25895472 23679664 28383032
 29547835 30084668 28971328 23252559 24295377 29716948 23701975 23013465
 24019545 27771610 21976547 22493422 25591799 28287096]"
Are alterations in ultraconserved elements implicated in breast cancer?,Yes. SNPs in ultraconserved elements (UCEs) might be associated with cancer risk.,1880,[18174240 21331621]
What is the role of invadopodia in EMT?,"In a process of epithelial-mesenchymal transition (EMT), besides changing their adhesive repertoire, cancer cells employ developmental processes to gain migratory and invasive properties that involve a dramatic reorganization of the actin cytoskeleton and the concomitant formation of membrane protrusions required for invasive growth. An important type of such membrane protrusions are the invadopodia, which have been increasingly recognized as important drivers of local invasion in metastasis. They are basally-localized, actin-rich structures that concentrate protease activity to areas of the cell in contact with the extracellular matrix.",240,[21397860 19169796 23873099 22529104 19656240 21725138 23991004 24086398]
List 3 indications for Bupropion,"Bupropion is used to treat Obesity, for smoking cessation and for depression",2041,"[16831112 15479310  9554323 17227286 12043548 18219560 18264876 26137782
 18619194 15155135 10804045 27038550 16546007 25223901 25661549 25895022
 23859696 21142259 16027765 21274361]"
Can aspirin be used in cancer prevention?,"Long-term aspirin use was associated with a modest but significantly reduced risk for overall cancer, especially gastrointestinal tract tumors. Regular aspirin use may prevent a substantial proportion of colorectal cancers and complement the benefits of screening.",2160,"[27289249 27817122 26940135 27543497 26926089 27268656 26510933 26712086
 26433247]"
Is Kanzaki disease associated with deficiency in alpha-N-acetylgalactosaminidase?,"Yes, Kanzaki disease is attributable to a deficiency in alpha-N-acetylgalactosaminidase, which hydrolyzes GalNAcalpha1-O-Ser/Thr.",501,[14685826 15619430 19683538 15136691 11251574  8577046]
Which are the main components of mTORC1?,"The mTOR (mammalian target of rapamycin) protein kinase is an important regulator of cell growth and is a key target for therapeutic intervention in cancer. Two complexes of mTOR have been identified: complex 1 (mTORC1), consisting of mTOR, Raptor (regulatory associated protein of mTOR) and mLST8 (mammalian lethal with SEC13 protein 8) and complex 2 (mTORC2) consisting of mTOR, Rictor (rapamycin-insensitive companion of mTOR), Sin1 (stress-activated protein kinase-interacting protein 1), and mLST8.",1480,[24331524 17141160 20127721 21413931 17878222 18614546 17461779]
